OS commanding vulnerability,POST,http://localhost/dvwa/vulnerabilities/exec/,ip,ip=&Submit=Submit,|[2412, 2416, 2420, 2424]|,|OS Commanding was found at: "http://localhost/dvwa/vulnerabilities/exec/", using HTTP method POST. The sent post-data was: "ip=&Submit=Submit". This vulnerability was found in the requests with ids 2412, 2416, 2420 and 2424.|
Unidentified vulnerability,GET,http://localhost/dvwa/instructions.php?doc=d'kc"z'gj'"**5*(((;-*`),doc,doc=d%27kc%22z%27gj%27%22%2A%2A5%2A%28%28%28%3B-%2A%60%29,|[3019, 3020, 3021]|,|An unidentified vulnerability was found at: "http://localhost/dvwa/instructions.php", using HTTP method GET. The sent data was: "doc=d%27kc%22z%27gj%27%22%2A%2A5%2A%28%28%28%3B-%2A%60%29". This vulnerability was found in the requests with ids 3019 to 3021.|
Unidentified vulnerability,GET,http://localhost/dvwa/security.php?test=d'kc"z'gj'"**5*(((;-*`),test,test=d%27kc%22z%27gj%27%22%2A%2A5%2A%28%28%28%3B-%2A%60%29,|[3025, 3026, 3027]|,|An unidentified vulnerability was found at: "http://localhost/dvwa/security.php", using HTTP method GET. The sent data was: "test=d%27kc%22z%27gj%27%22%2A%2A5%2A%28%28%28%3B-%2A%60%29". This vulnerability was found in the requests with ids 3025 to 3027.|
Unidentified vulnerability,GET,http://localhost/dvwa/vulnerabilities/xss_r/?name=d'kc"z'gj'"**5*(((;-*`),name,name=d%27kc%22z%27gj%27%22%2A%2A5%2A%28%28%28%3B-%2A%60%29,|[3031, 3032, 3033]|,|An unidentified vulnerability was found at: "http://localhost/dvwa/vulnerabilities/xss_r/", using HTTP method GET. The sent data was: "name=d%27kc%22z%27gj%27%22%2A%2A5%2A%28%28%28%3B-%2A%60%29". This vulnerability was found in the requests with ids 3031 to 3033.|
Unidentified vulnerability,POST,http://localhost/dvwa/vulnerabilities/captcha/,step,recaptcha_challenge_field=56&step=d'kc"z'gj'"%2A%2A5%2A(((%3B-%2A%60)&password_conf=FrAmE30.&recaptcha_response_field=manual_challenge&password_new=FrAmE30.&Change=Change,|[3035, 3036, 3037]|,|An unidentified vulnerability was found at: "http://localhost/dvwa/vulnerabilities/captcha/", using HTTP method POST. The sent post-data was: "...step=d'kc"z'gj'"**5*(((;-*`)...". This vulnerability was found in the requests with ids 3035 to 3037.|
Unidentified vulnerability,GET,http://localhost/dvwa/vulnerabilities/brute/?username=d'kc"z'gj'"**5*(((;-*`)&password=,username,username=d%27kc%22z%27gj%27%22%2A%2A5%2A%28%28%28%3B-%2A%60%29&password=,|[3051, 3052, 3053]|,|An unidentified vulnerability was found at: "http://localhost/dvwa/vulnerabilities/brute/", using HTTP method GET. The sent data was: "username=d%27kc%22z%27gj%27%22%2A%2A5%2A%28%28%28%3B-%2A%60%29&password=". The modified parameter was "username". This vulnerability was found in the requests with ids 3051 to 3053.|
Unidentified vulnerability,GET,http://localhost/dvwa/vulnerabilities/brute/?username=&password=d'kc"z'gj'"**5*(((;-*`),password,username=&password=d%27kc%22z%27gj%27%22%2A%2A5%2A%28%28%28%3B-%2A%60%29,|[3051, 3055, 3056]|,|An unidentified vulnerability was found at: "http://localhost/dvwa/vulnerabilities/brute/", using HTTP method GET. The sent data was: "username=&password=d%27kc%22z%27gj%27%22%2A%2A5%2A%28%28%28%3B-%2A%60%29". The modified parameter was "password". This vulnerability was found in the requests with ids 3051, 3055 to 3056.|
Unidentified vulnerability,GET,http://localhost/dvwa/security.php?phpids=d'kc"z'gj'"**5*(((;-*`),phpids,phpids=d%27kc%22z%27gj%27%22%2A%2A5%2A%28%28%28%3B-%2A%60%29,|[3064, 3066, 3067]|,|An unidentified vulnerability was found at: "http://localhost/dvwa/security.php", using HTTP method GET. The sent data was: "phpids=d%27kc%22z%27gj%27%22%2A%2A5%2A%28%28%28%3B-%2A%60%29". This vulnerability was found in the requests with ids 3064, 3066 to 3067.|
Unidentified vulnerability,GET,http://localhost/dvwa/vulnerabilities/csrf/?password_new=d'kc"z'gj'"**5*(((;-*`)&password_conf=,password_new,password_new=d%27kc%22z%27gj%27%22%2A%2A5%2A%28%28%28%3B-%2A%60%29&password_conf=,|[3076, 3077, 3078]|,|An unidentified vulnerability was found at: "http://localhost/dvwa/vulnerabilities/csrf/", using HTTP method GET. The sent data was: "password_new=d%27kc%22z%27gj%27%22%2A%2A5%2A%28%28%28%3B-%2A%60%29&password_conf=". The modified parameter was "password_new". This vulnerability was found in the requests with ids 3076 to 3078.|
Unidentified vulnerability,GET,http://localhost/dvwa/vulnerabilities/csrf/?password_new=&password_conf=d'kc"z'gj'"**5*(((;-*`),password_conf,password_new=&password_conf=d%27kc%22z%27gj%27%22%2A%2A5%2A%28%28%28%3B-%2A%60%29,|[3076, 3080, 3081]|,|An unidentified vulnerability was found at: "http://localhost/dvwa/vulnerabilities/csrf/", using HTTP method GET. The sent data was: "password_new=&password_conf=d%27kc%22z%27gj%27%22%2A%2A5%2A%28%28%28%3B-%2A%60%29". The modified parameter was "password_conf". This vulnerability was found in the requests with ids 3076, 3080 to 3081.|
